,survey_information,survey_information,,covid_19,covid_19,know_people_sick,know_people_sick,wear_a_mask,wear_a_mask,financial_concern,financial_concern,food_lackness_concern,food_lackness_concern
,region_where_applied,survey_date,survey_date_short,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size
0,Aguascalientes,2020-11-23,2020-11,0.023153,8453,0.259751,7956,0.899553,7455,0.630136,6991,0.418631,6983
1,Aguascalientes,2020-11-24,2020-11,0.0201,9490,0.232736,8981,0.901764,8354,0.619214,7853,0.417379,7845
2,Aguascalientes,2020-11-25,2020-11,0.02505,9540,0.241733,8946,0.895622,8367,0.617742,7832,0.41534,7826
3,Aguascalientes,2020-11-26,2020-11,0.025956,9315,0.236839,8774,0.901008,8205,0.624745,7676,0.425219,7666
4,Aguascalientes,2020-11-27,2020-11,0.022256,9430,0.23537,8873,0.891489,8256,0.589907,7710,0.400846,7694
5,Aguascalientes,2020-11-28,2020-11,0.021651,9408,0.242719,8864,0.898154,8255,0.605813,7731,0.406404,7722
6,Aguascalientes,2020-11-29,2020-11,0.023012,9584,0.248521,9029,0.894888,8486,0.609899,8023,0.412488,8016
7,Aguascalientes,2020-11-30,2020-11,0.022363,9851,0.245097,9330,0.88904,8674,0.613499,8123,0.414566,8114
8,Aguascalientes,2020-12-01,2020-12,0.023906,9948,0.241851,9379,0.892697,8744,0.609179,8178,0.415534,8167
9,Aguascalientes,2020-12-02,2020-12,0.024988,9954,0.247483,9385,0.898502,8779,0.624419,8250,0.423605,8232
10,Aguascalientes,2020-12-03,2020-12,0.024881,9867,0.235834,9308,0.890064,8767,0.620736,8230,0.427282,8225
11,Aguascalientes,2020-12-04,2020-12,0.020804,9635,0.242439,9076,0.896466,8526,0.627471,7946,0.421572,7937
12,Aguascalientes,2020-12-05,2020-12,0.02308,9041,0.23803,8499,0.901317,8013,0.614438,7480,0.411524,7473
13,Aguascalientes,2020-12-06,2020-12,0.0215,9505,0.251462,8944,0.901819,8352,0.617632,7844,0.410231,7835
14,Aguascalientes,2020-12-07,2020-12,0.022052,9223,0.245526,8755,0.899826,8216,0.606092,7701,0.411122,7695
15,Aguascalientes,2020-12-08,2020-12,0.019934,9166,0.247437,8708,0.905353,8126,0.605349,7619,0.405337,7611
16,Aguascalientes,2020-12-09,2020-12,0.023227,9446,0.24733,8927,0.896631,8402,0.592926,7899,0.402285,7886
17,Aguascalientes,2020-12-10,2020-12,0.024768,9196,0.238505,8677,0.895939,7720,0.607999,7215,0.415662,7200
18,Aguascalientes,2020-12-11,2020-12,0.018723,8668,0.25478,8228,0.90188,7681,0.615829,7203,0.421062,7199
19,Aguascalientes,2020-12-12,2020-12,0.02501,8496,0.251619,8051,0.893502,7545,0.603137,7121,0.399068,7111
20,Aguascalientes,2020-12-13,2020-12,0.020927,9177,0.245119,8693,0.900853,8106,0.59774,7639,0.394567,7629
21,Aguascalientes,2020-12-14,2020-12,0.022741,14631,0.257448,13837,0.897892,12945,0.615217,12152,0.408138,12148
22,Aguascalientes,2020-12-15,2020-12,0.024831,11991,0.265736,11321,0.899342,10628,0.604695,9990,0.413812,9969
23,Aguascalientes,2020-12-16,2020-12,0.023587,11067,0.255639,10493,0.896777,9866,0.609608,9306,0.4036,9297
24,Aguascalientes,2020-12-17,2020-12,0.022697,10666,0.267599,10097,0.893905,9463,0.612933,8916,0.408418,8904
25,Aguascalientes,2020-12-18,2020-12,0.027784,10241,0.255651,9632,0.898183,9065,0.607943,8525,0.420214,8516
26,Aguascalientes,2020-12-19,2020-12,0.026714,10135,0.263214,9550,0.896737,8903,0.59758,8347,0.400614,8334
27,Aguascalientes,2020-12-20,2020-12,0.024013,10709,0.25663,10106,0.901562,9516,0.601293,8990,0.402231,8977
28,Aguascalientes,2020-12-21,2020-12,0.020288,10889,0.269043,10319,0.904519,9399,0.636985,8816,0.43288,8807
29,Aguascalientes,2020-12-22,2020-12,0.020944,11296,0.270915,10723,0.904674,9753,0.630606,9142,0.42883,9128
30,Aguascalientes,2020-12-23,2020-12,0.023877,10926,0.28024,10336,0.908398,9376,0.638832,8805,0.428809,8796
31,Aguascalientes,2020-12-24,2020-12,0.02283,9029,0.281828,8499,0.912995,7682,0.602056,7193,0.393782,7180
32,Aguascalientes,2020-12-25,2020-12,0.023172,9270,0.264675,8774,0.915363,7941,0.590452,7446,0.377872,7439
33,Aguascalientes,2020-12-26,2020-12,0.023854,11046,0.268932,10441,0.904178,9470,0.591813,8863,0.409062,8845
34,Aguascalientes,2020-12-27,2020-12,0.025013,11486,0.276141,10883,0.912478,9988,0.61355,9402,0.404898,9400
35,Aguascalientes,2020-12-28,2020-12,0.024024,11262,0.276783,10704,0.900686,9747,0.614035,9136,0.409278,9132
36,Aguascalientes,2020-12-29,2020-12,0.025406,11624,0.279241,10998,0.911571,10037,0.614136,9400,0.416815,9377
37,Aguascalientes,2020-12-30,2020-12,0.029829,11007,0.284449,10372,0.904015,9457,0.63356,8861,0.435588,8852
38,Aguascalientes,2020-12-31,2020-12,0.025434,9156,0.301304,8628,0.902735,7818,0.624568,7301,0.431351,7294
39,Aguascalientes,2021-01-01,2021-1,0.027558,8937,0.297203,8414,0.90922,7359,0.59554,6927,0.392477,6927
40,Aguascalientes,2021-01-02,2021-1,0.027343,10813,0.294187,10179,0.90779,9292,0.602062,8725,0.398245,8719
