,survey_information,survey_information,,accept_vaccine,accept_vaccine,trust_family_recommendation,trust_family_recommendation,trust_healthcare_recommendation,trust_healthcare_recommendation,trust_WHO_recommendation,trust_WHO_recommendation,trust_government_recommendation,trust_government_recommendation,trust_politicians_recommendation,trust_politicians_recommendation
,region_where_applied,survey_date,survey_date_short,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size,indicator_percentage,sample_size
0,Aguascalientes,2020-12-21,2020-12,0.827023,9244,0.644872,3088,0.721161,3122,0.768438,3152,0.657455,2942,0.343213,1506
1,Aguascalientes,2020-12-22,2020-12,0.820356,9623,0.653233,8085,0.705194,8229,0.753498,8364,0.644496,7739,0.356461,4012
2,Aguascalientes,2020-12-23,2020-12,0.829659,9279,0.652874,7837,0.713058,7995,0.764779,8056,0.662632,7541,0.361988,4070
3,Aguascalientes,2020-12-24,2020-12,0.845975,7633,0.682663,6517,0.738843,6632,0.788537,6651,0.674637,6222,0.393401,3454
4,Aguascalientes,2020-12-25,2020-12,0.839036,7882,0.671383,6700,0.728547,6840,0.762398,6871,0.669857,6401,0.402814,3439
5,Aguascalientes,2020-12-26,2020-12,0.845973,9413,0.679075,8048,0.747699,8201,0.777429,8230,0.670217,7685,0.385671,4206
6,Aguascalientes,2020-12-27,2020-12,0.848862,9823,0.680791,8435,0.739878,8552,0.779367,8633,0.670504,8051,0.384979,4415
7,Aguascalientes,2020-12-28,2020-12,0.84816,10421,0.673671,8862,0.731998,9007,0.77097,9090,0.671205,8500,0.359124,4628
8,Aguascalientes,2020-12-29,2020-12,0.851359,10724,0.678033,9080,0.752346,9296,0.791673,9394,0.68468,8837,0.373287,4688
9,Aguascalientes,2020-12-30,2020-12,0.851223,10117,0.68586,8605,0.755326,8841,0.7782,8877,0.692183,8317,0.390569,4517
10,Aguascalientes,2020-12-31,2020-12,0.854653,8422,0.688481,7149,0.758491,7326,0.788672,7348,0.685737,6946,0.379677,3811
11,Aguascalientes,2021-01-01,2021-1,0.849692,8218,0.672138,6985,0.750496,7136,0.778405,7187,0.682367,6773,0.361726,3594
12,Aguascalientes,2021-01-02,2021-1,0.834779,9937,0.675971,8398,0.728764,8597,0.783834,8636,0.664504,8157,0.369196,4320
13,Aguascalientes,2021-01-03,2021-1,0.838525,10731,0.647958,9107,0.721068,9290,0.757002,9327,0.651609,8803,0.362654,4634
14,Aguascalientes,2021-01-04,2021-1,0.82428,10830,0.681204,9096,0.724289,9238,0.772268,9365,0.659159,8741,0.348305,4675
15,Aguascalientes,2021-01-05,2021-1,0.839239,10867,0.672369,9255,0.732999,9393,0.77306,9493,0.668235,8863,0.362253,4762
16,Aguascalientes,2021-01-06,2021-1,0.848548,10446,0.684133,8849,0.745854,8974,0.776305,9059,0.675535,8517,0.364962,4595
17,Aguascalientes,2021-01-07,2021-1,0.837443,10445,0.680889,8821,0.737983,9011,0.78262,9043,0.674729,8506,0.373032,4514
18,Aguascalientes,2021-01-08,2021-1,0.831366,10514,0.669492,8910,0.732155,9056,0.772676,9105,0.674645,8510,0.391098,4550
19,Aguascalientes,2021-01-09,2021-1,0.842035,10156,0.687518,8651,0.736306,8791,0.771799,8780,0.670176,8325,0.371345,4444
20,Aguascalientes,2021-01-10,2021-1,0.83387,10667,0.689945,9047,0.738334,9194,0.781689,9217,0.67328,8664,0.377307,4578
21,Aguascalientes,2021-01-11,2021-1,0.839307,11283,0.69314,9666,0.748491,9748,0.780755,9838,0.683619,9264,0.378941,5013
22,Aguascalientes,2021-01-12,2021-1,0.836865,11146,0.680511,9585,0.738694,9658,0.769665,9709,0.66191,9149,0.366428,4895
23,Aguascalientes,2021-01-13,2021-1,0.854635,10627,0.698122,9210,0.754206,9234,0.773939,9298,0.681989,8794,0.394513,4790
24,Aguascalientes,2021-01-14,2021-1,0.870666,10171,0.59078,8252,0.709546,8787,0.793368,9021,0.661894,8363,0.287573,4328
25,Aguascalientes,2021-01-15,2021-1,0.862399,9665,0.608308,7786,0.709493,8361,0.782681,8546,0.652874,7946,0.289343,4144
26,Aguascalientes,2021-01-16,2021-1,0.872297,9587,0.595751,7712,0.705911,8280,0.794618,8448,0.663662,7881,0.293787,4150
27,Aguascalientes,2021-01-17,2021-1,0.871196,10309,0.614027,8344,0.707098,8905,0.793285,9074,0.663643,8458,0.298085,4466
28,Aguascalientes,2021-01-18,2021-1,0.876867,10508,0.592137,8488,0.700667,9096,0.788428,9311,0.656529,8638,0.294915,4525
29,Aguascalientes,2021-01-19,2021-1,0.870913,10632,0.603897,8630,0.696345,9187,0.784288,9391,0.656724,8713,0.303123,4478
30,Aguascalientes,2021-01-20,2021-1,0.865574,10943,0.611229,8858,0.699209,9467,0.790429,9689,0.654427,8977,0.287818,4689
31,Aguascalientes,2021-01-21,2021-1,0.872903,11042,0.607578,8864,0.701785,9512,0.790866,9743,0.659115,9095,0.285041,4742
32,Aguascalientes,2021-01-22,2021-1,0.864624,10293,0.596569,8287,0.704557,8839,0.797709,9108,0.657341,8394,0.287099,4437
