,survey_information,survey_information,,barrier_vaccine_type,barrier_vaccine_type,barrier_lack_of_time,barrier_lack_of_time
,region_where_applied,survey_date,survey_date_short,indicator_percentage,sample_size,indicator_percentage,sample_size
0,Aguascalientes,2021-07-20,2021-7,0.050378,5935,0.045544,5935
1,Aguascalientes,2021-07-26,2021-7,0.055305,6328,0.046705,6328
2,Aguascalientes,2021-07-29,2021-7,0.057848,6261,0.043467,6261
3,Aguascalientes,2021-08-03,2021-8,0.055517,6948,0.041087,6948
4,Aguascalientes,2021-08-04,2021-8,0.054034,6975,0.049977,6975
5,Aguascalientes,2021-08-05,2021-8,0.055112,7031,0.054353,7031
6,Aguascalientes,2021-08-06,2021-8,0.058522,6755,0.0512,6755
7,Aguascalientes,2021-08-07,2021-8,0.057016,6410,0.050535,6410
8,Aguascalientes,2021-08-08,2021-8,0.054085,6792,0.054991,6792
9,Aguascalientes,2021-08-09,2021-8,0.055729,6956,0.047155,6956
10,Aguascalientes,2021-08-10,2021-8,0.053457,7565,0.052687,7565
11,Aguascalientes,2021-08-11,2021-8,0.054433,7428,0.054567,7428
12,Aguascalientes,2021-08-12,2021-8,0.056216,7283,0.057225,7283
13,Aguascalientes,2021-08-13,2021-8,0.053453,6745,0.047028,6745
14,Aguascalientes,2021-08-15,2021-8,0.057025,6589,0.055337,6589
15,Aguascalientes,2021-08-16,2021-8,0.0584,6850,0.052415,6850
16,Aguascalientes,2021-08-25,2021-8,0.061229,6300,0.054791,6300
17,Baja California,2021-05-20,2021-5,0.034511,2301,0.033923,2301
18,Baja California,2021-05-21,2021-5,0.032131,2248,0.029846,2248
19,Baja California,2021-05-22,2021-5,0.033584,2296,0.036627,2296
20,Baja California,2021-05-23,2021-5,0.036491,2289,0.033386,2289
21,Baja California,2021-05-24,2021-5,0.035597,2328,0.037691,2328
22,Baja California,2021-05-25,2021-5,0.02828,2333,0.025442,2333
23,Baja California,2021-05-26,2021-5,0.036678,2392,0.040702,2392
24,Baja California,2021-05-27,2021-5,0.035628,2360,0.026155,2360
25,Baja California,2021-05-28,2021-5,0.035322,2382,0.033594,2382
26,Baja California,2021-05-29,2021-5,0.037079,2529,0.029465,2529
27,Baja California,2021-05-30,2021-5,0.031236,2694,0.025879,2694
28,Baja California,2021-05-31,2021-5,0.037419,2657,0.03443,2657
29,Baja California,2021-06-01,2021-6,0.029082,2879,0.035415,2879
30,Baja California,2021-06-02,2021-6,0.028237,2859,0.030524,2859
31,Baja California,2021-06-03,2021-6,0.037748,2632,0.028852,2632
32,Baja California,2021-06-04,2021-6,0.039885,2487,0.028185,2487
33,Baja California,2021-06-05,2021-6,0.039528,2486,0.031886,2486
34,Baja California,2021-06-06,2021-6,0.034204,2343,0.037723,2343
35,Baja California,2021-06-07,2021-6,0.0292,2442,0.034802,2442
36,Baja California,2021-06-08,2021-6,0.033279,2782,0.03791,2782
37,Baja California,2021-06-09,2021-6,0.0348,2886,0.029266,2886
38,Baja California,2021-06-10,2021-6,0.033095,2960,0.031247,2960
39,Baja California,2021-06-11,2021-6,0.033137,2851,0.043281,2851
40,Baja California,2021-06-12,2021-6,0.035143,2764,0.038701,2764
41,Baja California,2021-06-13,2021-6,0.041142,2941,0.040991,2941
42,Baja California,2021-06-14,2021-6,0.030204,3031,0.034451,3031
43,Baja California,2021-06-15,2021-6,0.036426,3120,0.04129,3120
44,Baja California,2021-06-16,2021-6,0.038365,3017,0.038043,3017
45,Baja California,2021-06-17,2021-6,0.028103,2403,0.027073,2403
46,Baja California,2021-06-18,2021-6,0.041736,1660,0.04456,1660
47,Baja California,2021-06-19,2021-6,0.038929,1541,0.037939,1541
48,Baja California,2021-06-20,2021-6,0.042576,1382,0.039653,1382
49,Baja California,2021-06-21,2021-6,0.034859,1564,0.033973,1564
50,Baja California,2021-06-22,2021-6,0.033717,1773,0.03449,1773
51,Baja California,2021-06-23,2021-6,0.045294,1792,0.0497,1792
52,Baja California,2021-06-24,2021-6,0.033714,1672,0.038438,1672
53,Baja California,2021-06-25,2021-6,0.033656,2244,0.036675,2244
54,Baja California,2021-06-26,2021-6,0.034798,3239,0.040591,3239
55,Baja California,2021-06-27,2021-6,0.03829,3560,0.043036,3560
56,Baja California,2021-06-28,2021-6,0.035247,3738,0.036243,3738
57,Baja California,2021-06-29,2021-6,0.041645,3862,0.03619,3862
58,Baja California,2021-06-30,2021-6,0.038139,3702,0.049238,3702
59,Baja California,2021-07-01,2021-7,0.039922,3713,0.033159,3713
60,Baja California,2021-07-02,2021-7,0.042698,3599,0.042055,3599
61,Baja California,2021-07-03,2021-7,0.047771,3739,0.040478,3739
62,Baja California,2021-07-04,2021-7,0.046734,3842,0.037354,3842
63,Baja California,2021-07-05,2021-7,0.043763,4087,0.047194,4087
64,Baja California,2021-07-06,2021-7,0.045147,4572,0.041376,4572
65,Baja California,2021-07-07,2021-7,0.047718,4961,0.043717,4961
66,Baja California,2021-07-08,2021-7,0.039434,4893,0.042596,4893
67,Baja California,2021-07-09,2021-7,0.049964,4758,0.041867,4758
68,Baja California,2021-07-10,2021-7,0.043231,4651,0.03484,4651
69,Baja California,2021-07-11,2021-7,0.040258,5000,0.036356,5000
70,Baja California,2021-07-12,2021-7,0.044612,5215,0.038865,5215
71,Baja California,2021-07-13,2021-7,0.047508,5504,0.047489,5504
72,Baja California,2021-07-14,2021-7,0.044765,5495,0.040219,5495
73,Baja California,2021-07-15,2021-7,0.040155,5252,0.03684,5252
74,Baja California,2021-07-16,2021-7,0.045873,5003,0.040791,5003
75,Baja California,2021-07-18,2021-7,0.047921,5380,0.045546,5380
76,Baja California,2021-07-19,2021-7,0.047347,5782,0.042105,5782
77,Baja California,2021-07-20,2021-7,0.050378,5935,0.045544,5935
78,Baja California,2021-07-21,2021-7,0.048285,6177,0.043307,6177
79,Baja California,2021-07-22,2021-7,0.049141,5503,0.045619,5503
80,Baja California,2021-07-23,2021-7,0.049485,5701,0.040882,5701
81,Baja California,2021-07-24,2021-7,0.051533,5653,0.038928,5653
82,Baja California,2021-07-25,2021-7,0.052068,5924,0.046247,5924
83,Baja California,2021-07-26,2021-7,0.055305,6328,0.046705,6328
84,Baja California,2021-07-27,2021-7,0.054679,6462,0.04705,6462
85,Baja California,2021-07-28,2021-7,0.050995,6666,0.043826,6666
86,Baja California,2021-07-29,2021-7,0.057848,6261,0.043467,6261
87,Baja California,2021-07-30,2021-7,0.051999,6187,0.041911,6187
88,Baja California,2021-07-31,2021-7,0.060704,6248,0.051603,6248
89,Baja California,2021-08-01,2021-8,0.050486,5852,0.05133,5852
90,Baja California,2021-08-02,2021-8,0.051324,6699,0.042726,6699
91,Baja California,2021-08-03,2021-8,0.055517,6948,0.041087,6948
92,Baja California,2021-08-04,2021-8,0.054034,6975,0.049977,6975
93,Baja California,2021-08-05,2021-8,0.055112,7031,0.054353,7031
94,Baja California,2021-08-06,2021-8,0.058522,6755,0.0512,6755
95,Baja California,2021-08-07,2021-8,0.057016,6410,0.050535,6410
96,Baja California,2021-08-08,2021-8,0.054085,6792,0.054991,6792
97,Baja California,2021-08-09,2021-8,0.055729,6956,0.047155,6956
98,Baja California,2021-08-10,2021-8,0.053457,7565,0.052687,7565
99,Baja California,2021-08-11,2021-8,0.054433,7428,0.054567,7428
100,Baja California,2021-08-12,2021-8,0.056216,7283,0.057225,7283
101,Baja California,2021-08-13,2021-8,0.053453,6745,0.047028,6745
102,Baja California,2021-08-14,2021-8,0.059969,6446,0.051995,6446
103,Baja California,2021-08-15,2021-8,0.057025,6589,0.055337,6589
104,Baja California,2021-08-16,2021-8,0.0584,6850,0.052415,6850
105,Baja California,2021-08-17,2021-8,0.055087,6828,0.052828,6828
106,Baja California,2021-08-18,2021-8,0.058907,6714,0.047523,6714
107,Baja California,2021-08-19,2021-8,0.049102,6323,0.052261,6323
108,Baja California,2021-08-20,2021-8,0.055215,6041,0.058778,6041
109,Baja California,2021-08-21,2021-8,0.057238,6047,0.05148,6047
110,Baja California,2021-08-22,2021-8,0.062116,6142,0.058076,6142
111,Baja California,2021-08-23,2021-8,0.055995,6211,0.061796,6211
112,Baja California,2021-08-24,2021-8,0.057972,6376,0.0518,6376
113,Baja California,2021-08-25,2021-8,0.061229,6300,0.054791,6300
114,Baja California,2021-08-26,2021-8,0.057649,6296,0.055034,6296
115,Baja California,2021-08-27,2021-8,0.054743,5659,0.056722,5659
116,Baja California,2021-08-28,2021-8,0.057223,5251,0.058686,5251
117,Baja California,2021-08-29,2021-8,0.064856,5549,0.051642,5549
118,Baja California,2021-08-30,2021-8,0.052241,5714,0.052284,5714
119,Baja California,2021-08-31,2021-8,0.058874,5670,0.060879,5670
120,Baja California,2021-09-01,2021-9,0.058538,5624,0.058991,5624
121,Baja California,2021-09-02,2021-9,0.062393,5387,0.053772,5387
122,Baja California,2021-09-03,2021-9,0.063268,5068,0.062016,5068
123,Baja California,2021-09-04,2021-9,0.058158,4987,0.062444,4987
124,Baja California,2021-09-05,2021-9,0.056699,5228,0.060754,5228
125,Baja California,2021-09-06,2021-9,0.058182,5389,0.056255,5389
126,Baja California,2021-09-07,2021-9,0.053516,5329,0.053296,5329
127,Baja California,2021-09-08,2021-9,0.05179,5229,0.05008,5229
128,Baja California,2021-09-09,2021-9,0.049858,5179,0.05869,5179
129,Baja California,2021-09-10,2021-9,0.058709,4926,0.053382,4926
130,Baja California Sur,2021-06-26,2021-6,0.034798,3239,0.040591,3239
131,Baja California Sur,2021-06-27,2021-6,0.03829,3560,0.043036,3560
132,Baja California Sur,2021-06-28,2021-6,0.035247,3738,0.036243,3738
133,Baja California Sur,2021-06-29,2021-6,0.041645,3862,0.03619,3862
134,Baja California Sur,2021-07-01,2021-7,0.039922,3713,0.033159,3713
135,Baja California Sur,2021-07-02,2021-7,0.042698,3599,0.042055,3599
136,Baja California Sur,2021-07-03,2021-7,0.047771,3739,0.040478,3739
137,Baja California Sur,2021-07-04,2021-7,0.046734,3842,0.037354,3842
138,Baja California Sur,2021-07-05,2021-7,0.043763,4087,0.047194,4087
139,Baja California Sur,2021-07-07,2021-7,0.047718,4961,0.043717,4961
140,Baja California Sur,2021-07-08,2021-7,0.039434,4893,0.042596,4893
141,Baja California Sur,2021-07-09,2021-7,0.049964,4758,0.041867,4758
142,Baja California Sur,2021-07-11,2021-7,0.040258,5000,0.036356,5000
143,Baja California Sur,2021-07-12,2021-7,0.044612,5215,0.038865,5215
144,Baja California Sur,2021-07-13,2021-7,0.047508,5504,0.047489,5504
145,Baja California Sur,2021-07-14,2021-7,0.044765,5495,0.040219,5495
146,Baja California Sur,2021-07-16,2021-7,0.045873,5003,0.040791,5003
147,Baja California Sur,2021-07-21,2021-7,0.048285,6177,0.043307,6177
148,Chiapas,2021-05-24,2021-5,0.035597,2328,0.037691,2328
149,Chiapas,2021-05-26,2021-5,0.036678,2392,0.040702,2392
150,Chiapas,2021-06-10,2021-6,0.033095,2960,0.031247,2960
151,Chiapas,2021-06-13,2021-6,0.041142,2941,0.040991,2941
152,Chiapas,2021-06-14,2021-6,0.030204,3031,0.034451,3031
153,Chiapas,2021-06-15,2021-6,0.036426,3120,0.04129,3120
154,Chiapas,2021-06-27,2021-6,0.03829,3560,0.043036,3560
155,Chiapas,2021-07-01,2021-7,0.039922,3713,0.033159,3713
156,Chiapas,2021-07-02,2021-7,0.042698,3599,0.042055,3599
157,Chiapas,2021-07-03,2021-7,0.047771,3739,0.040478,3739
158,Chiapas,2021-07-05,2021-7,0.043763,4087,0.047194,4087
159,Chiapas,2021-07-06,2021-7,0.045147,4572,0.041376,4572
160,Chiapas,2021-07-07,2021-7,0.047718,4961,0.043717,4961
161,Chiapas,2021-07-10,2021-7,0.043231,4651,0.03484,4651
162,Chiapas,2021-07-11,2021-7,0.040258,5000,0.036356,5000
163,Chiapas,2021-07-12,2021-7,0.044612,5215,0.038865,5215
164,Chiapas,2021-07-13,2021-7,0.047508,5504,0.047489,5504
165,Chiapas,2021-07-14,2021-7,0.044765,5495,0.040219,5495
166,Chiapas,2021-07-15,2021-7,0.040155,5252,0.03684,5252
167,Chiapas,2021-07-16,2021-7,0.045873,5003,0.040791,5003
168,Chiapas,2021-07-18,2021-7,0.047921,5380,0.045546,5380
169,Chiapas,2021-07-19,2021-7,0.047347,5782,0.042105,5782
170,Chiapas,2021-07-20,2021-7,0.050378,5935,0.045544,5935
171,Chiapas,2021-07-21,2021-7,0.048285,6177,0.043307,6177
172,Chiapas,2021-07-22,2021-7,0.049141,5503,0.045619,5503
173,Chiapas,2021-07-23,2021-7,0.049485,5701,0.040882,5701
174,Chiapas,2021-07-24,2021-7,0.051533,5653,0.038928,5653
175,Chiapas,2021-07-25,2021-7,0.052068,5924,0.046247,5924
176,Chiapas,2021-07-26,2021-7,0.055305,6328,0.046705,6328
177,Chiapas,2021-07-27,2021-7,0.054679,6462,0.04705,6462
178,Chiapas,2021-07-28,2021-7,0.050995,6666,0.043826,6666
179,Chiapas,2021-07-29,2021-7,0.057848,6261,0.043467,6261
180,Chiapas,2021-07-30,2021-7,0.051999,6187,0.041911,6187
181,Chiapas,2021-07-31,2021-7,0.060704,6248,0.051603,6248
182,Chiapas,2021-08-01,2021-8,0.050486,5852,0.05133,5852
183,Chiapas,2021-08-02,2021-8,0.051324,6699,0.042726,6699
184,Chiapas,2021-08-03,2021-8,0.055517,6948,0.041087,6948
185,Chiapas,2021-08-04,2021-8,0.054034,6975,0.049977,6975
186,Chiapas,2021-08-05,2021-8,0.055112,7031,0.054353,7031
187,Chiapas,2021-08-06,2021-8,0.058522,6755,0.0512,6755
188,Chiapas,2021-08-07,2021-8,0.057016,6410,0.050535,6410
189,Chiapas,2021-08-08,2021-8,0.054085,6792,0.054991,6792
190,Chiapas,2021-08-09,2021-8,0.055729,6956,0.047155,6956
191,Chiapas,2021-08-10,2021-8,0.053457,7565,0.052687,7565
192,Chiapas,2021-08-11,2021-8,0.054433,7428,0.054567,7428
193,Chiapas,2021-08-12,2021-8,0.056216,7283,0.057225,7283
194,Chiapas,2021-08-13,2021-8,0.053453,6745,0.047028,6745
195,Chiapas,2021-08-14,2021-8,0.059969,6446,0.051995,6446
196,Chiapas,2021-08-15,2021-8,0.057025,6589,0.055337,6589
197,Chiapas,2021-08-16,2021-8,0.0584,6850,0.052415,6850
198,Chiapas,2021-08-17,2021-8,0.055087,6828,0.052828,6828
199,Chiapas,2021-08-18,2021-8,0.058907,6714,0.047523,6714
200,Chiapas,2021-08-19,2021-8,0.049102,6323,0.052261,6323
201,Chiapas,2021-08-20,2021-8,0.055215,6041,0.058778,6041
202,Chiapas,2021-08-21,2021-8,0.057238,6047,0.05148,6047
203,Chiapas,2021-08-22,2021-8,0.062116,6142,0.058076,6142
204,Chiapas,2021-08-23,2021-8,0.055995,6211,0.061796,6211
205,Chiapas,2021-08-24,2021-8,0.057972,6376,0.0518,6376
206,Chiapas,2021-08-25,2021-8,0.061229,6300,0.054791,6300
207,Chiapas,2021-08-26,2021-8,0.057649,6296,0.055034,6296
208,Chiapas,2021-08-27,2021-8,0.054743,5659,0.056722,5659
209,Chiapas,2021-08-28,2021-8,0.057223,5251,0.058686,5251
210,Chiapas,2021-08-29,2021-8,0.064856,5549,0.051642,5549
211,Chiapas,2021-08-30,2021-8,0.052241,5714,0.052284,5714
212,Chiapas,2021-08-31,2021-8,0.058874,5670,0.060879,5670
213,Chiapas,2021-09-01,2021-9,0.058538,5624,0.058991,5624
214,Chiapas,2021-09-02,2021-9,0.062393,5387,0.053772,5387
215,Chiapas,2021-09-03,2021-9,0.063268,5068,0.062016,5068
216,Chiapas,2021-09-04,2021-9,0.058158,4987,0.062444,4987
217,Chiapas,2021-09-05,2021-9,0.056699,5228,0.060754,5228
218,Chiapas,2021-09-06,2021-9,0.058182,5389,0.056255,5389
219,Chiapas,2021-09-07,2021-9,0.053516,5329,0.053296,5329
220,Chiapas,2021-09-08,2021-9,0.05179,5229,0.05008,5229
221,Chiapas,2021-09-09,2021-9,0.049858,5179,0.05869,5179
222,Chiapas,2021-09-10,2021-9,0.058709,4926,0.053382,4926
223,Chihuahua,2021-05-20,2021-5,0.034511,2301,0.033923,2301
224,Chihuahua,2021-05-21,2021-5,0.032131,2248,0.029846,2248
225,Chihuahua,2021-05-22,2021-5,0.033584,2296,0.036627,2296
226,Chihuahua,2021-05-23,2021-5,0.036491,2289,0.033386,2289
227,Chihuahua,2021-05-24,2021-5,0.035597,2328,0.037691,2328
228,Chihuahua,2021-05-25,2021-5,0.02828,2333,0.025442,2333
